START-OF-FILE
RUNDATE=20200915
PROGRAMFLAG=oneshot
FIRMNAME=dl792230
COMPRESS=yes
FILETYPE=pc
REPLYFILENAME=txcambio5
DATEFORMAT=ddmmyy
DATERANGE=20200907|20200915
PROGRAMNAME=gethistory

# Automatically generated by Bloomberg Data License Request Builder version 7.0.1
# Build Code: 000000000000000024

START-OF-FIELDS
PX_LAST
END-OF-FIELDS

TIMESTARTED=Tue Sep 15 09:03:59 EDT 2020
START-OF-DATA
END SECURITY|USDKRW Curncy|PX_LAST|0|
START SECURITY|USDMAD Curncy|PX_LAST|
USDMAD Curncy|07/09/20|9.1793|
USDMAD Curncy|08/09/20|9.2012|
USDMAD Curncy|09/09/20|9.183|
USDMAD Curncy|10/09/20|9.1816|
USDMAD Curncy|11/09/20|9.1741|
USDMAD Curncy|14/09/20|9.1731|
USDMAD Curncy|15/09/20|9.2092|
END SECURITY|USDMAD Curncy|PX_LAST|0|
START SECURITY|USDMXN Curncy|PX_LAST|
USDMXN Curncy|07/09/20|21.6059|
USDMXN Curncy|08/09/20|21.7793|
USDMXN Curncy|09/09/20|21.3652|
USDMXN Curncy|10/09/20|21.4434|
USDMXN Curncy|11/09/20|21.276|
USDMXN Curncy|14/09/20|21.1044|
USDMXN Curncy|15/09/20|21.0282|
END SECURITY|USDMXN Curncy|PX_LAST|0|
START SECURITY|USDMYR Curncy|PX_LAST|
USDMYR Curncy|07/09/20|4.16|
USDMYR Curncy|08/09/20|4.1678|
USDMYR Curncy|09/09/20|4.1708|
USDMYR Curncy|10/09/20|4.1635|
USDMYR Curncy|11/09/20|4.1515|
USDMYR Curncy|14/09/20|4.1445|
USDMYR Curncy|15/09/20|4.133|
END SECURITY|USDMYR Curncy|PX_LAST|0|
START SECURITY|USDPEN Curncy|PX_LAST|
USDPEN Curncy|07/09/20|3.5373|
USDPEN Curncy|08/09/20|3.542|
USDPEN Curncy|09/09/20|3.5375|
USDPEN Curncy|10/09/20|3.5453|
USDPEN Curncy|11/09/20|3.5747|
USDPEN Curncy|14/09/20|3.5616|
END SECURITY|USDPEN Curncy|PX_LAST|0|
START SECURITY|USDPHP Curncy|PX_LAST|
USDPHP Curncy|07/09/20|48.665|
USDPHP Curncy|08/09/20|48.557|
USDPHP Curncy|09/09/20|48.649|
USDPHP Curncy|10/09/20|48.574|
USDPHP Curncy|11/09/20|48.551|
USDPHP Curncy|14/09/20|48.511|
USDPHP Curncy|15/09/20|48.411|
END SECURITY|USDPHP Curncy|PX_LAST|0|
START SECURITY|USDPLN Curncy|PX_LAST|
USDPLN Curncy|07/09/20|3.753|
USDPLN Curncy|08/09/20|3.7807|
USDPLN Curncy|09/09/20|3.7634|
USDPLN Curncy|10/09/20|3.7696|
USDPLN Curncy|11/09/20|3.7555|
USDPLN Curncy|14/09/20|3.7474|
USDPLN Curncy|15/09/20|3.7414|
END SECURITY|USDPLN Curncy|PX_LAST|0|
START SECURITY|USDRUB Curncy|PX_LAST|
USDRUB Curncy|07/09/20|75.7441|
USDRUB Curncy|08/09/20|76.3358|
USDRUB Curncy|09/09/20|75.3332|
USDRUB Curncy|10/09/20|75.1779|
USDRUB Curncy|11/09/20|74.9123|
USDRUB Curncy|14/09/20|75.294|
USDRUB Curncy|15/09/20|74.9935|
END SECURITY|USDRUB Curncy|PX_LAST|0|
START SECURITY|USDTHB Curncy|PX_LAST|
USDTHB Curncy|07/09/20|31.398|
USDTHB Curncy|08/09/20|31.395|
USDTHB Curncy|09/09/20|31.278|
USDTHB Curncy|10/09/20|31.315|
USDTHB Curncy|11/09/20|31.279|
USDTHB Curncy|14/09/20|31.293|
USDTHB Curncy|15/09/20|31.172|
END SECURITY|USDTHB Curncy|PX_LAST|0|
START SECURITY|USDVND Curncy|PX_LAST|
USDVND Curncy|07/09/20|23176|
USDVND Curncy|08/09/20|23167|
USDVND Curncy|09/09/20|23170|
USDVND Curncy|10/09/20|23167|
USDVND Curncy|11/09/20|23167|
USDVND Curncy|14/09/20|23166|
USDVND Curncy|15/09/20|23166|
END SECURITY|USDVND Curncy|PX_LAST|0|
START SECURITY|USDZAR Curncy|PX_LAST|
USDZAR Curncy|07/09/20|16.7405|
USDZAR Curncy|08/09/20|16.9425|
USDZAR Curncy|09/09/20|16.6096|
USDZAR Curncy|10/09/20|16.9078|
USDZAR Curncy|11/09/20|16.7357|
USDZAR Curncy|14/09/20|16.6662|
USDZAR Curncy|15/09/20|16.4592|
END SECURITY|USDZAR Curncy|PX_LAST|0|
END-OF-DATA
TIMEFINISHED=Tue Sep 15 09:04:01 EDT 2020
END-OF-FILE
