START-OF-FILE
RUNDATE=20200706
# Required headers
FIRMNAME=dl792230
PROGRAMNAME=gethistory
REPLYFILENAME=cds1.bbg

# Scheduling headers
PROGRAMFLAG=adhoc

# Runtime options headers
DATERANGE=20200401|20200706
HIST_PERIOD=daily

# Formatting headers
HIST_FORMAT=horizontal
DATEFORMAT=ddmmyyyy
FILETYPE=unix
DISPLAY_PRICING_SRC=no

# Pricing Source headers

# Terminal Identity headers

# Entitlement headers
REGFVHL=YES
REGPRICEUNCERTAINTY=YES
REGTRANSPARENCY=YES

START-OF-FIELDS
PX_LAST
END-OF-FIELDS

TIMESTARTED=Mon Jul  6 11:18:21 EDT 2020
START-OF-DATA
BRAZIL CDS USD SR 5Y D14 Corp|0|1|25/06/2020|260.398|
BRAZIL CDS USD SR 5Y D14 Corp|0|1|26/06/2020|267.127|
BRAZIL CDS USD SR 5Y D14 Corp|0|1|29/06/2020|264.6|
BRAZIL CDS USD SR 5Y D14 Corp|0|1|30/06/2020|256.514|
BRAZIL CDS USD SR 5Y D14 Corp|0|1|01/07/2020|245.131|
BRAZIL CDS USD SR 5Y D14 Corp|0|1|02/07/2020|231.263|
BRAZIL CDS USD SR 5Y D14 Corp|0|1|03/07/2020|227.459|
BRAZIL CDS USD SR 5Y D14 Corp|0|1|06/07/2020|225.212|
INDON CDS USD SR 5Y D14 Corp|0|1|01/04/2020|235.077|
INDON CDS USD SR 5Y D14 Corp|0|1|02/04/2020|250.413|
INDON CDS USD SR 5Y D14 Corp|0|1|03/04/2020|257.986|
INDON CDS USD SR 5Y D14 Corp|0|1|06/04/2020|249.38|
INDON CDS USD SR 5Y D14 Corp|0|1|07/04/2020|236.615|
INDON CDS USD SR 5Y D14 Corp|0|1|08/04/2020|232.631|
INDON CDS USD SR 5Y D14 Corp|0|1|09/04/2020|218.162|
INDON CDS USD SR 5Y D14 Corp|0|1|13/04/2020|214.041|
INDON CDS USD SR 5Y D14 Corp|0|1|14/04/2020|205.537|
INDON CDS USD SR 5Y D14 Corp|0|1|15/04/2020|212.751|
INDON CDS USD SR 5Y D14 Corp|0|1|16/04/2020|201.407|
INDON CDS USD SR 5Y D14 Corp|0|1|17/04/2020|196.051|
INDON CDS USD SR 5Y D14 Corp|0|1|20/04/2020|203.945|
INDON CDS USD SR 5Y D14 Corp|0|1|21/04/2020|217.096|
INDON CDS USD SR 5Y D14 Corp|0|1|22/04/2020|232.895|
INDON CDS USD SR 5Y D14 Corp|0|1|23/04/2020|225.265|
INDON CDS USD SR 5Y D14 Corp|0|1|24/04/2020|224.681|
INDON CDS USD SR 5Y D14 Corp|0|1|27/04/2020|225.451|
INDON CDS USD SR 5Y D14 Corp|0|1|28/04/2020|225.303|
INDON CDS USD SR 5Y D14 Corp|0|1|29/04/2020|215.113|
INDON CDS USD SR 5Y D14 Corp|0|1|30/04/2020|211.228|
INDON CDS USD SR 5Y D14 Corp|0|1|01/05/2020|207.459|
INDON CDS USD SR 5Y D14 Corp|0|1|04/05/2020|220.307|
INDON CDS USD SR 5Y D14 Corp|0|1|05/05/2020|218.658|
INDON CDS USD SR 5Y D14 Corp|0|1|06/05/2020|208.429|
INDON CDS USD SR 5Y D14 Corp|0|1|07/05/2020|213.291|
INDON CDS USD SR 5Y D14 Corp|0|1|08/05/2020|208.096|
INDON CDS USD SR 5Y D14 Corp|0|1|11/05/2020|206.035|
INDON CDS USD SR 5Y D14 Corp|0|1|12/05/2020|201.774|
INDON CDS USD SR 5Y D14 Corp|0|1|13/05/2020|200.173|
INDON CDS USD SR 5Y D14 Corp|0|1|14/05/2020|204.984|
INDON CDS USD SR 5Y D14 Corp|0|1|15/05/2020|204.6|
INDON CDS USD SR 5Y D14 Corp|0|1|18/05/2020|200.088|
INDON CDS USD SR 5Y D14 Corp|0|1|19/05/2020|187.786|
INDON CDS USD SR 5Y D14 Corp|0|1|20/05/2020|183.732|
INDON CDS USD SR 5Y D14 Corp|0|1|21/05/2020|173.711|
INDON CDS USD SR 5Y D14 Corp|0|1|22/05/2020|178.053|
INDON CDS USD SR 5Y D14 Corp|0|1|25/05/2020|184.401|
INDON CDS USD SR 5Y D14 Corp|0|1|26/05/2020|181.476|
INDON CDS USD SR 5Y D14 Corp|0|1|27/05/2020|163.094|
INDON CDS USD SR 5Y D14 Corp|0|1|28/05/2020|161.817|
INDON CDS USD SR 5Y D14 Corp|0|1|29/05/2020|175.891|
INDON CDS USD SR 5Y D14 Corp|0|1|01/06/2020|157.578|
INDON CDS USD SR 5Y D14 Corp|0|1|02/06/2020|153.328|
INDON CDS USD SR 5Y D14 Corp|0|1|03/06/2020|139.237|
INDON CDS USD SR 5Y D14 Corp|0|1|04/06/2020|132.916|
INDON CDS USD SR 5Y D14 Corp|0|1|05/06/2020|124.543|
INDON CDS USD SR 5Y D14 Corp|0|1|08/06/2020|109.708|
INDON CDS USD SR 5Y D14 Corp|0|1|09/06/2020|113.384|
INDON CDS USD SR 5Y D14 Corp|0|1|10/06/2020|117.987|
INDON CDS USD SR 5Y D14 Corp|0|1|11/06/2020|127.512|
INDON CDS USD SR 5Y D14 Corp|0|1|12/06/2020|156.627|
INDON CDS USD SR 5Y D14 Corp|0|1|15/06/2020|159.182|
INDON CDS USD SR 5Y D14 Corp|0|1|16/06/2020|124.096|
INDON CDS USD SR 5Y D14 Corp|0|1|17/06/2020|120.132|
INDON CDS USD SR 5Y D14 Corp|0|1|18/06/2020|125.793|
INDON CDS USD SR 5Y D14 Corp|0|1|19/06/2020|123.779|
INDON CDS USD SR 5Y D14 Corp|0|1|22/06/2020|125.819|
INDON CDS USD SR 5Y D14 Corp|0|1|23/06/2020|125.275|
INDON CDS USD SR 5Y D14 Corp|0|1|24/06/2020|126.434|
INDON CDS USD SR 5Y D14 Corp|0|1|25/06/2020|132.209|
INDON CDS USD SR 5Y D14 Corp|0|1|26/06/2020|130.531|
INDON CDS USD SR 5Y D14 Corp|0|1|29/06/2020|135.474|
INDON CDS USD SR 5Y D14 Corp|0|1|30/06/2020|133.601|
INDON CDS USD SR 5Y D14 Corp|0|1|01/07/2020|129.408|
INDON CDS USD SR 5Y D14 Corp|0|1|02/07/2020|124.066|
INDON CDS USD SR 5Y D14 Corp|0|1|03/07/2020|120.889|
INDON CDS USD SR 5Y D14 Corp|0|1|06/07/2020|119.985|
TURKEY CDS USD SR 5Y D14 Corp|0|1|21/04/2020|635.394|
TURKEY CDS USD SR 5Y D14 Corp|0|1|22/04/2020|630.158|
TURKEY CDS USD SR 5Y D14 Corp|0|1|23/04/2020|619.845|
TURKEY CDS USD SR 5Y D14 Corp|0|1|24/04/2020|611.409|
TURKEY CDS USD SR 5Y D14 Corp|0|1|27/04/2020|606.507|
